year,transmission,engine,max_power
2008,1,1998.0,68.0
2015,1,2179.0,147.94
2016,1,2179.0,147.94
2014,1,1582.0,126.32
2019,1,1493.0,70.0
2011,1,2494.0,102.0
2017,1,1186.0,73.97
2014,1,1248.0,74.0
2016,1,1120.0,70.0
2016,0,1197.0,82.0
2013,1,2494.0,100.6
2017,1,1248.0,74.0
2012,1,1396.0,70.0
2017,1,1498.0,98.59
2012,1,814.0,55.2
2001,1,993.0,60.0
2017,1,2179.0,140.0
2010,1,796.0,46.3
2016,0,1498.0,103.52
2014,1,796.0,47.3
2015,1,1499.0,110.0
2017,0,3604.0,280.0
2013,1,2179.0,120.0
2016,1,1248.0,88.5
2018,1,1497.0,117.6
2006,1,998.0,67.1
2017,1,1493.0,100.0
2015,1,1461.0,83.8
2011,1,1248.0,73.9
2018,0,1968.0,188.0
2016,0,1598.0,103.5
2017,1,1498.0,98.6
2014,1,1120.0,70.0
2009,1,1197.0,78.9
2017,1,1197.0,81.83
2016,1,2393.0,147.8
2013,1,1596.0,99.6
2008,1,1248.0,75.0
2013,1,1598.0,103.6
2007,1,1061.0,67.0
2013,1,1498.0,98.6
2007,1,2494.0,102.0
2012,1,1598.0,103.6
2019,1,2523.0,62.1
2016,0,1497.0,117.3
2019,1,2179.0,140.0
2014,1,814.0,55.2
2012,1,1497.0,116.3
2019,1,999.0,75.0
2018,1,998.0,67.04
2013,1,1248.0,88.8
2017,1,1197.0,81.83
2015,1,1396.0,88.73
2016,0,1598.0,103.5
2010,1,1396.0,69.0
2010,0,1781.0,163.2
2017,1,998.0,67.04
2010,1,1991.0,147.9
2010,1,1493.0,110.0
2015,1,2499.0,72.4
2016,1,1197.0,81.8
2017,1,1248.0,74.0
2015,1,2179.0,140.0
2019,1,1497.0,121.0
2008,0,2359.0,165.0
2013,1,1248.0,88.8
2009,1,1368.0,90.0
2007,1,1396.0,53.5
2016,1,1248.0,73.94
2017,1,1248.0,74.0
2019,0,1197.0,81.8
2007,1,796.0,46.3
2016,1,998.0,67.05
2012,1,1248.0,75.0
2015,1,1199.0,88.7
2012,1,2494.0,102.0
2007,1,1388.0,68.0
2011,1,2494.0,102.0
2012,1,1248.0,74.0
2011,1,2523.0,62.1
2017,1,799.0,53.3
2009,1,1248.0,73.9
2015,1,2523.0,63.0
2010,1,796.0,46.3
2015,1,2494.0,100.6
2018,0,1991.0,183.0
2012,1,1248.0,74.0
2013,1,1461.0,108.45
2012,1,2179.0,140.0
2013,1,1248.0,88.76
2016,1,1797.0,147.5
2015,1,1461.0,83.8
2016,1,1248.0,88.5
2016,1,1198.0,82.0
2018,0,1498.0,108.62
2016,1,2494.0,100.6
2017,0,1461.0,108.45
2014,1,1248.0,74.0
2014,1,1248.0,74.0
2012,1,998.0,67.1
2015,1,998.0,67.04
2011,1,2499.0,141.0
2017,1,1047.0,69.0
2016,1,1199.0,88.7
2019,1,1493.0,70.0
2010,1,1086.0,68.05
2011,0,2953.0,153.86
2015,1,1498.0,89.75
2012,1,1399.0,68.0
2010,0,1197.0,78.9
2004,1,796.0,37.0
2018,1,1248.0,74.0
2016,1,1493.0,100.0
2012,1,1461.0,63.12
2017,1,1496.0,88.73
2018,1,998.0,67.05
2020,1,1193.0,88.7
2010,1,1390.0,75.0
2014,1,1582.0,126.32
2015,1,1197.0,81.86
2014,1,2494.0,100.6
2016,1,1199.0,88.7
2016,1,814.0,55.2
2012,1,1461.0,78.0
2015,1,1193.0,88.7
2018,1,2179.0,138.0
2011,1,1298.0,85.8
2009,1,796.0,46.3
2016,1,1248.0,88.5
2015,1,1248.0,74.0
2016,0,2494.0,157.7
2018,1,1396.0,88.73
2016,1,1582.0,126.2
2016,0,1499.0,110.4
2019,1,1197.0,81.86
2012,1,1598.0,103.5
2016,1,2393.0,147.8
2017,0,998.0,67.1
2019,1,1197.0,81.86
2011,1,1199.0,73.9
2011,1,1248.0,88.8
2007,1,1197.0,85.0
2019,0,1197.0,81.8
2014,1,1248.0,74.0
2010,1,1199.0,79.4
2017,0,1199.0,84.0
2013,1,814.0,55.2
2014,1,1197.0,81.83
2015,1,2523.0,62.1
2014,1,1248.0,73.8
2019,1,1248.0,74.0
2015,1,1198.0,86.7
2014,1,1396.0,88.7
2013,1,1461.0,84.8
2015,1,1198.0,75.0
2013,1,1498.0,98.6
2012,1,1461.0,65.0
2015,1,1197.0,81.83
2016,1,1120.0,70.0
2017,1,1396.0,88.7
2014,1,1248.0,74.0
2011,1,1248.0,75.0
2018,1,1248.0,74.0
2020,1,1197.0,81.8
2019,0,1197.0,83.1
2010,1,2179.0,138.1
2015,1,998.0,67.04
2018,1,1186.0,73.97
2012,0,1582.0,126.32
2017,0,1999.0,177.0
2006,1,1399.0,68.0
2014,1,1198.0,86.8
2015,1,1498.0,88.8
2012,1,1248.0,73.94
2015,1,1120.0,71.01
2010,1,796.0,46.3
2017,1,1197.0,81.86
2015,0,1197.0,82.0
2016,1,796.0,47.3
2007,1,1396.0,52.8
2012,1,2494.0,100.0
2015,1,1248.0,88.5
2014,1,1248.0,74.0
2017,1,1496.0,88.73
2010,1,1896.0,105.0
2014,0,1498.0,103.2
2014,1,1248.0,73.94
2017,1,1956.0,170.0
2017,1,998.0,67.05
2012,1,2179.0,140.0
2011,1,998.0,67.1
2016,1,998.0,67.1
2016,1,1198.0,82.0
2008,1,1248.0,75.0
2015,1,1197.0,81.8
2016,1,2393.0,147.51
2012,1,1396.0,90.0
2017,1,1197.0,81.86
2008,1,2523.0,63.0
2016,1,1197.0,81.8
2015,1,998.0,67.04
2015,1,1248.0,74.0
2009,1,796.0,46.3
2016,1,1373.0,91.1
2016,0,2494.0,157.7
2016,1,1405.0,69.01
2012,1,995.0,62.1
2006,1,2179.0,120.0
2013,1,1598.0,103.5
2012,1,1598.0,103.6
2015,1,1461.0,108.5
2014,1,2523.0,62.1
2014,1,796.0,47.3
2016,1,1198.0,67.0
2012,1,814.0,55.2
2014,1,1248.0,74.0
2018,1,1197.0,81.86
2014,1,1497.0,117.3
2010,1,1086.0,68.05
2017,1,1197.0,85.8
2004,1,1248.0,82.4
2013,1,1396.0,69.0
2016,1,1461.0,108.45
2010,1,2494.0,102.0
2009,1,1396.0,53.5
2014,1,1461.0,108.5
2006,0,998.0,67.1
2016,1,1498.0,88.7
2018,1,1498.0,98.6
2011,1,1991.0,147.9
2012,1,796.0,46.3
2018,0,1248.0,74.0
2013,1,1396.0,69.0
2019,0,1969.0,190.0
2017,1,1396.0,88.73
2012,1,796.0,46.3
2010,1,1248.0,73.9
2016,1,1199.0,88.7
2013,1,1248.0,73.94
2011,1,1197.0,78.9
2016,1,1248.0,88.5
2011,1,2498.0,112.0
2018,0,1197.0,81.8
2013,1,1582.0,126.24
2009,0,2354.0,177.6
2016,1,1199.0,88.7
2019,1,1197.0,81.8
2011,0,2148.0,170.0
2012,1,2494.0,100.0
2015,1,1498.0,89.84
2005,1,1405.0,70.0
2018,1,998.0,67.05
2018,1,1197.0,83.1
2016,1,1198.0,77.0
2019,0,1995.0,190.0
2018,1,1197.0,81.8
2018,1,1199.0,84.0
2016,1,2393.0,147.51
2016,1,796.0,47.3
2014,1,1248.0,74.0
